1,3143,1381
2,197771,89759
3,7564,3240
4,5598,2492
5,264672,118965
6,118621,60088
7,751579,355172
8,157753,70487
9,2489,1106
10,622875,288201
11,76244,32228
12,659529,305635
13,7640,3471
14,39736,18599
15,773819,359707
16,947467,457108
17,61069,27806
18,289370,127843
19,301130,137556
20,686604,334675
21,262252,118277
22,541445,260312
23,85846,42171
24,11911,5875
25,332240,157443
26,1016995,435634
27,6515,2846
28,151072,70603
29,310341,143047
30,161023,75987
31,133082,62899
32,12965,5862
33,273499,129155
35,30630,13872
36,86980,38929
37,57611,25476
38,259071,118660
39,46591,21954
40,77579,37269
41,57447,26756
42,2732251,1299620
43,193290,90010
44,49853,23812
45,86113,38546
46,134804,62498
47,143878,68426
48,56044,25926
49,382820,184710
50,148286,69915
