535,"(42, 5)"
403,"(50, 10)"
330,"(22, 5)"
326,"(12, 42)"
302,"(29, 26)"
294,"(42, 20)"
285,"(42, 29)"
261,"(42, 15)"
249,"(15, 12)"
231,"(15, 5)"
225,"(12, 18)"
223,"(7, 42)"
218,"(16, 5)"
211,"(45, 49)"
202,"(20, 42)"
199,"(42, 21)"
199,"(2, 5)"
191,"(42, 40)"
188,"(42, 12)"
171,"(42, 18)"
171,"(10, 5)"
170,"(45, 42)"
169,"(16, 43)"
169,"(15, 49)"
168,"(42, 31)"
165,"(12, 15)"
165,"(7, 16)"
162,"(7, 15)"
161,"(16, 42)"
159,"(25, 42)"
157,"(29, 42)"
142,"(10, 31)"
138,"(15, 42)"
135,"(42, 33)"
130,"(38, 10)"
130,"(10, 37)"
129,"(42, 7)"
128,"(7, 5)"
127,"(21, 42)"
126,"(50, 5)"
117,"(42, 28)"
117,"(18, 21)"
116,"(20, 5)"
115,"(43, 16)"
115,"(10, 42)"
108,"(42, 26)"
107,"(42, 16)"
104,"(37, 10)"
102,"(42, 25)"
99,"(8, 42)"
94,"(10, 32)"
93,"(49, 5)"
93,"(22, 18)"
92,"(15, 28)"
91,"(10, 41)"
90,"(8, 18)"
89,"(31, 5)"
89,"(22, 42)"
85,"(20, 29)"
83,"(10, 38)"
82,"(38, 42)"
80,"(42, 41)"
79,"(33, 42)"
79,"(15, 7)"
78,"(38, 5)"
77,"(28, 5)"
76,"(42, 43)"
76,"(25, 18)"
76,"(15, 26)"
75,"(16, 7)"
75,"(5, 28)"
74,"(16, 18)"
74,"(5, 10)"
73,"(16, 28)"
71,"(21, 5)"
70,"(20, 25)"
70,"(15, 18)"
69,"(28, 18)"
69,"(12, 26)"
69,"(10, 15)"
68,"(49, 42)"
67,"(30, 42)"
67,"(22, 50)"
67,"(12, 31)"
66,"(12, 5)"
66,"(2, 42)"
65,"(6, 42)"
63,"(42, 10)"
63,"(29, 5)"
62,"(29, 20)"
61,"(42, 8)"
61,"(2, 29)"
60,"(22, 7)"
59,"(22, 31)"
58,"(22, 8)"
57,"(21, 15)"
57,"(18, 28)"
56,"(30, 5)"
55,"(49, 15)"
54,"(42, 45)"
54,"(19, 7)"
53,"(25, 5)"
53,"(21, 18)"
53,"(10, 22)"
52,"(14, 10)"
51,"(23, 42)"
51,"(16, 15)"
51,"(15, 20)"
50,"(50, 18)"
50,"(20, 10)"
49,"(26, 5)"
48,"(5, 42)"
47,"(26, 31)"
47,"(10, 40)"
47,"(2, 31)"
46,"(16, 31)"
46,"(7, 18)"
45,"(25, 20)"
45,"(18, 5)"
45,"(16, 40)"
45,"(10, 20)"
44,"(43, 42)"
44,"(33, 16)"
44,"(33, 14)"
44,"(22, 19)"
44,"(21, 7)"
44,"(16, 26)"
43,"(33, 5)"
43,"(30, 43)"
43,"(18, 8)"
43,"(5, 31)"
42,"(47, 17)"
42,"(45, 26)"
42,"(26, 42)"
42,"(18, 49)"
41,"(25, 43)"
41,"(25, 28)"
41,"(22, 28)"
40,"(38, 28)"
40,"(18, 42)"
40,"(15, 31)"
40,"(5, 18)"
39,"(50, 42)"
39,"(42, 49)"
39,"(42, 2)"
39,"(41, 5)"
39,"(30, 33)"
39,"(23, 49)"
39,"(7, 19)"
38,"(43, 15)"
38,"(25, 40)"
38,"(15, 41)"
38,"(10, 50)"
37,"(50, 14)"
37,"(49, 23)"
37,"(42, 22)"
37,"(29, 15)"
37,"(18, 10)"
37,"(7, 21)"
37,"(3, 5)"
37,"(2, 26)"
36,"(50, 31)"
36,"(49, 31)"
36,"(33, 46)"
