usc_sec_01_00000001----000-,19,0
usc_sec_01_00000002----000-,3,0
usc_sec_01_00000003----000-,2,0
usc_sec_01_00000005----000-,1,0
usc_sec_01_00000008----000-,1,0
usc_sec_01_00000105----000-,1,0
usc_sec_01_00000106---b000-,1,0
usc_sec_01_00000112----000-,0,1
usc_sec_01_00000112---b000-,1,3
usc_sec_01_00000201----000-,1,4
usc_sec_01_00000202----000-,10,0
usc_sec_01_00000203----000-,9,0
usc_sec_01_00000204----000-,1,0
usc_sec_01_00000205----000-,1,2
usc_sec_01_00000206----000-,1,0
usc_sec_01_00000208----000-,0,5
usc_sec_01_00000209----000-,0,2
usc_sec_01_00000210----000-,1,4
usc_sec_01_00000211----000-,0,3
usc_sec_01_00000212----000-,2,0
usc_sec_01_00000213----000-,0,2
usc_sec_02_00000001---a000-,1,0
usc_sec_02_00000001---b000-,0,1
usc_sec_02_00000002----000-,4,0
usc_sec_02_00000002---a000-,2,0
usc_sec_02_00000002---b000-,0,1
usc_sec_02_00000002---c000-,0,1
usc_sec_02_00000003----000-,4,0
usc_sec_02_00000005----000-,5,0
usc_sec_02_00000006----000-,2,1
usc_sec_02_00000007----000-,1,0
usc_sec_02_00000008----000-,1,9
usc_sec_02_00000023----000-,2,0
usc_sec_02_00000026----000-,1,0
usc_sec_02_00000028---b000-,5,5
usc_sec_02_00000028---e000-,4,5
usc_sec_02_00000029---a000-,2,0
usc_sec_02_00000031----000-,0,2
usc_sec_02_00000031----002-,0,1
usc_sec_02_00000031---a002-,1,0
usc_sec_02_00000031---a002a,0,1
usc_sec_02_00000031---b001-,3,4
usc_sec_02_00000031---b004-,0,4
usc_sec_02_00000031---b005-,0,1
usc_sec_02_00000031---b007-,3,2
usc_sec_02_00000034----000-,1,1
usc_sec_02_00000035----000-,1,0
usc_sec_02_00000035---a000-,0,1
usc_sec_02_00000036---a000-,1,0
usc_sec_02_00000038----000-,0,2
usc_sec_02_00000038---a000-,1,0
usc_sec_02_00000041----000-,3,5
usc_sec_02_00000042---a000-,1,0
usc_sec_02_00000042---c000-,2,2
usc_sec_02_00000043---b000-,2,3
