1,84,4,39,41
2,7873,114,1196,6563
3,386,15,63,308
4,221,6,47,168
5,12814,168,1030,11616
6,5940,72,395,5473
7,31468,351,2743,28374
8,6451,56,353,6042
9,68,4,31,33
10,28676,391,3302,24983
11,3989,38,264,3687
12,24793,266,1808,22719
13,272,22,70,180
14,1417,31,370,1016
15,29491,273,2297,26921
16,33925,475,4726,28724
17,2195,18,140,2037
18,10245,153,1346,8746
19,12665,185,995,11485
20,32888,715,2232,29941
21,10217,93,570,9554
22,21377,499,2887,17991
23,3816,7,148,3661
24,620,23,163,434
25,13038,246,2098,10694
26,52838,531,2088,50219
27,224,13,45,166
28,5292,86,793,4413
29,13284,179,762,12343
30,4608,85,643,3880
31,6740,79,471,6190
32,528,6,75,447
33,9932,127,1319,8486
35,983,28,150,805
36,4604,115,1124,3365
37,2760,15,208,2537
38,12019,174,1019,10826
39,2012,33,172,1807
40,3579,102,437,3040
41,2425,17,237,2171
42,116237,1418,7400,107419
43,5783,171,1343,4269
44,1791,27,345,1419
45,2907,55,294,2558
46,6843,146,884,5813
47,5329,52,323,4954
48,1733,59,573,1101
49,17900,185,1185,16530
50,6774,149,719,5906
